name,category_id,source_page,source_image,local_image
"Laptop Acer Gaming Nitro ProPanel ANV15-52-50VA","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-52-50va.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_975_17.png","/product-images/cellphones/cps-001.webp"
"Laptop ASUS TUF Gaming A15 FA506NCG-HN329W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn329w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_9_14.png","/product-images/cellphones/cps-002.webp"
"Laptop ASUS ExpertBook P1 P1403CVA-C5H16-63WS","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-expertbook-p1-p1403cva-c5h16-63ws.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__13_42.png","/product-images/cellphones/cps-003.png"
"Laptop MSI Katana 15 B13VEK-2440VN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-msi-katana-15-b13vek-2440vn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__4_62.png","/product-images/cellphones/cps-004.png"
"Laptop MSI Modern 15 F1MG-1225VN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-msi-modern-15-f1mg-1225vn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_29.png","/product-images/cellphones/cps-005.png"
"Laptop Acer Gaming Aspire 7 A715-59G-59RD","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-59rd.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_1042.png","/product-images/cellphones/cps-006.webp"
"Laptop ASUS Vivobook Go 15 E1504FA-BQ340W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-bq340w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_13.png","/product-images/cellphones/cps-007.webp"
"Laptop Lenovo IdeaPad Slim 3 14IWC11 83RQ002NVN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iwc11-83rq002nvn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_1_20.png","/product-images/cellphones/cps-008.png"
"Laptop ASUS VivoBook S14 S3407CA-SF913W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407ca-sf913w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_881_4_.png","/product-images/cellphones/cps-009.png"
"Laptop Dell 14 DC14250 DC4C5375W1 - Bảo hành 2 năm","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5375w1.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_1_21.png","/product-images/cellphones/cps-010.webp"
"Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_744_1_42.png","/product-images/cellphones/cps-011.png"
"Laptop ASUS Gaming V16 V3607VU-RP343W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_57.png","/product-images/cellphones/cps-012.webp"
"Laptop ASUS VivoBook 14 X1407CA-LY008W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-vivobook-14-x1407ca-ly008w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__10_30.png","/product-images/cellphones/cps-013.png"
"Laptop MSI Cyborg 15 A13UC-2082VN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-msi-cyborg-15-a13uc-2082vn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_126.png","/product-images/cellphones/cps-014.webp"
"Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-lenovo-loq-essential-15arp10e-83s0000dvn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_9_2.png","/product-images/cellphones/cps-015.webp"
